field_1,Trap,Latitude,Longitude
0,T002,41.95469,-87.80099
8,T007,41.99499,-87.76928
16,T015,41.97409,-87.82481
24,T045,41.92160,-87.66645
32,T046,41.89112,-87.65449
40,T048,41.86711,-87.65422
48,T049,41.89628,-87.65523
56,T050,41.91934,-87.69426
64,T054,41.92197,-87.63209
72,T086,41.68832,-87.67671
80,T091,41.86229,-87.64886
88,T094,41.72085,-87.66601
96,T096,41.73192,-87.67751
104,T129,41.89113,-87.61156
112,T143,41.99913,-87.79559
120,T148,42.01743,-87.68777
128,T153,41.90765,-87.76089
136,T159,41.73298,-87.64964
144,T009,41.98196,-87.81283
152,T011,41.94487,-87.83276
160,T016,42.01160,-87.81151
168,T019,41.94983,-87.69846
176,T025,41.97924,-87.75094
184,T028,41.98692,-87.68978
192,T031,41.80150,-87.76342
200,T033,41.90664,-87.70143
208,T089,41.72319,-87.64997
216,T090,41.86808,-87.66690
224,T092,41.86922,-87.62756
232,T135,41.66201,-87.72461
240,T141,41.96174,-87.76007
248,T142,41.95307,-87.77679
256,T145,41.87811,-87.62980
264,T146,41.95827,-87.70257
272,T147,41.93209,-87.70012
280,T149,41.99447,-87.66774
288,T150,42.00686,-87.67592
296,T151,41.91627,-87.80052
304,T152,41.84607,-87.71628
312,T154,41.91871,-87.75233
320,T158,41.68259,-87.70797
328,T162,41.72552,-87.61426
336,T218,41.94817,-87.73070
344,T220,41.96398,-87.69181
352,T001,41.95370,-87.73397
360,T003,41.96424,-87.75764
368,T006,41.99028,-87.79713
376,T008,42.00831,-87.77792
384,T012,41.99143,-87.74711
392,T034,41.84381,-87.68676
400,T037,41.92118,-87.79518
408,T040,41.85265,-87.71989
416,T043,41.85740,-87.69499
424,T047,41.86814,-87.69627
432,T051,41.84628,-87.65691
440,T085,41.72147,-87.64806
448,T088,41.86911,-87.69629
456,T161,41.71906,-87.67509
464,T219,41.96699,-87.67468
472,T013,41.92374,-87.78529
480,T014,41.97025,-87.78799
488,T018,42.01041,-87.66214
496,T030,41.89923,-87.71679
504,T084,41.69255,-87.59887
512,T144,41.94016,-87.79490
520,T160,41.90300,-87.68827
528,T005,41.94211,-87.77639
536,T017,41.96062,-87.77719
544,T044,41.88328,-87.70508
552,T095,41.70434,-87.70374
560,T004,41.96273,-87.74837
568,T035,41.83664,-87.67774
576,T036,41.83709,-87.72938
584,T039,41.91182,-87.72674
592,T060,41.82306,-87.67838
600,T061,41.80118,-87.67945
608,T062,41.80074,-87.71188
616,T065,41.77830,-87.75241
624,T066,41.77166,-87.70305
632,T067,41.75935,-87.74560
640,T069,41.76839,-87.67865
648,T070,41.79762,-87.79789
656,T071,41.78142,-87.77653
664,T073,41.77322,-87.60088
672,T074,41.82254,-87.66634
680,T075,41.79928,-87.58549
688,T076,41.79478,-87.61599
696,T077,41.77875,-87.58643
704,T079,41.76620,-87.56289
712,T080,41.75468,-87.61292
720,T081,41.82158,-87.62780
728,T082,41.80342,-87.64298
736,T083,41.75429,-87.59077
744,T114,41.79870,-87.73681
752,T155,41.77616,-87.77893
760,T063,41.82561,-87.72655
768,T115,41.67341,-87.59986
776,T138,41.72646,-87.58541
784,T200,41.67862,-87.55931
792,T206,41.73705,-87.54307
800,T209,41.74064,-87.54659
808,T212,41.68095,-87.53520
816,T215,41.68640,-87.53163
824,T107,41.72967,-87.58270
832,T128,41.70457,-87.56567
840,T072,41.74785,-87.70272
848,T078,41.77505,-87.65536
856,T097,41.64461,-87.60450
864,T099,41.73364,-87.55551
872,T100,41.71775,-87.53166
880,T102,41.75050,-87.60529
888,T103,41.70272,-87.53650
896,T027,41.98481,-87.72849
904,T156,41.77285,-87.74003
912,T157,41.82590,-87.66783
920,T221,41.65911,-87.53869
928,T009,41.99248,-87.86299
936,T900,41.97469,-87.89061
944,T903,41.95780,-87.93099
952,T090A,41.69042,-87.65693
960,T090B,41.86853,-87.66164
968,T090C,41.67588,-87.65152
976,T200A,41.73193,-87.54854
984,T128A,41.73858,-87.56773
992,T200B,41.64654,-87.54376
1000,T218A,41.95477,-87.73089
1008,T218C,41.93365,-87.73842
1016,T218B,41.94828,-87.74134
1024,T222,41.92520,-87.74638
1032,T223,41.97384,-87.80506
1040,T225,41.74340,-87.73144
1048,T227,41.72850,-87.60096
1056,T224,41.94723,-87.67146
1064,T226,41.79382,-87.65423
1072,T229,41.75341,-87.63982
1080,T230,41.90419,-87.75616
1088,T228,41.95187,-87.72506
1096,T035,41.76373,-87.74230
1104,T231,41.98728,-87.66607
1112,T232,41.91256,-87.66805
1120,T002A,41.96557,-87.78198
1128,T002B,41.95188,-87.78923
1136,T233,42.00988,-87.80728
1144,T234,41.94228,-87.76173
1152,T235,41.77643,-87.62710
1160,T236,41.99468,-87.77090
1168,T237,41.73890,-87.69544
1176,T238,41.75339,-87.70739
1184,T065A,41.77769,-87.74915
1192,T094B,41.71914,-87.66954
1200,T054C,41.92565,-87.63359
